SECONDS,NANOSECONDS,NDX,DIAG,REMARK,DATE,TIME,H2O,CO2,CH4,CAVITY_P,CAVITY_T,LASER_PHASE_P,LASER_T,RESIDUAL,RING_DOWN_TIME,THERMAL_ENCLOSURE_T,PHASE_ERROR,LASER_T_SHIFT,INPUT_VOLTAGE,CHK
1691042400,187036991,17063269,0,"""""",2025-11-30,00:00:00,16456.6209,432.0511,1936.41529,40.6267,55.001,26.1627,51.028,0.00267118,11.2878,54.4956,61.97,0.15088,24.1364,237
1691042460,187036991,17063270,0,"""""",2025-11-30,00:01:00,16460.6148,433.77976,1936.25732,40.6301,55.001,26.156,51.028,0.00264334,11.29,54.4995,-20.99,0.15088,24.1347,235
1691042520,187036991,17063271,0,"""""",2025-11-30,00:02:00,16458.9005,432.48758,1935.81533,40.626,55.001,26.1596,51.028,0.00264008,11.2894,54.5014,24.17,0.15088,24.1322,194
1691042580,187036991,17063272,0,"""""",2025-11-30,00:03:00,16457.0335,431.82609,1936.14518,40.6245,55.001,26.1626,51.028,0.00265493,11.2885,54.4911,54.24,0.15088,24.137,178
1691042640,187036991,17063273,0,"""""",2025-11-30,00:04:00,16456.6624,433.43203,1936.34498,40.6268,55.001,26.1643,51.028,0.00265659,11.2887,54.4916,62.74,0.15088,24.1328,133
1691042700,187036991,17063274,0,"""""",2025-11-30,00:05:00,16461.4406,432.89235,1936.86869,40.6292,55.001,26.1609,51.028,0.00265748,11.2876,54.4992,15.83,0.15088,24.1363,95
1691042760,187036991,17063275,0,"""""",2025-11-30,00:06:00,16463.1856,434.416,1936.93049,40.6272,55.001,26.1639,51.028,0.00265983,11.2882,54.499,-35.05,0.15088,24.1359,58
1691042820,187036991,17063276,0,"""""",2025-11-30,00:07:00,16462.4999,433.25188,1936.15468,40.6234,55.001,26.1625,51.028,0.0026736,11.2883,54.4998,72.73,0.15088,24.133,170
1691042880,187036991,17063277,0,"""""",2025-11-30,00:08:00,16459.9854,434.70645,1936.97784,40.6285,55.001,26.1611,51.028,0.00266057,11.2912,54.5002,13.39,0.15088,24.1365,140
1691042940,187036991,17063278,0,"""""",2025-11-30,00:09:00,16457.7337,434.07877,1936.86273,40.6256,55.001,26.1548,51.028,0.00264071,11.2887,54.4986,-12.96,0.15088,24.136,159
1691043000,187036991,17063279,0,"""""",2025-11-30,00:10:00,16459.8899,435.26393,1936.58357,40.6288,55.001,26.1602,51.028,0.00267755,11.2858,54.4996,65.3,0.15088,24.1362,137
1691043060,187036991,17063280,0,"""""",2025-11-30,00:11:00,16457.6604,435.52316,1936.81559,40.6285,55.001,26.1618,51.028,0.00267047,11.2905,54.4963,20.34,0.15088,24.137,133
1691043120,187036991,17063281,0,"""""",2025-11-30,00:12:00,16456.1263,436.13411,1937.03962,40.6289,55.001,26.1632,51.028,0.00266008,11.288,54.5029,-46.28,0.15088,24.1373,206
1691043180,187036991,17063282,0,"""""",2025-11-30,00:13:00,16457.817,436.36902,1936.76412,40.628,55.001,26.1606,51.028,0.00267546,11.2872,54.4995,-51.56,0.15088,24.1373,12
1691043240,187036991,17063283,0,"""""",2025-11-30,00:14:00,16461.0907,437.12614,1936.37585,40.6266,55.001,26.1604,51.028,0.00265369,11.2891,54.4928,-68.88,0.15088,24.1304,57
1691043300,187036991,17063284,0,"""""",2025-11-30,00:15:00,16458.0671,435.37422,1935.85543,40.6257,55.001,26.1621,51.028,0.00265446,11.2885,54.498,6.59,0.15088,24.1384,232
1691043360,187036991,17063285,0,"""""",2025-11-30,00:16:00,16457.9268,436.99634,1936.50479,40.6283,55.001,26.162,51.028,0.00266178,11.2894,54.4982,67.32,0.15088,24.1389,184
1691043420,187036991,17063286,0,"""""",2025-11-30,00:17:00,16459.3041,438.29738,1936.47346,40.631,55.001,26.1576,51.028,0.0026445,11.2883,54.5019,-38.39,0.15088,24.1372,177
1691043480,187036991,17063287,0,"""""",2025-11-30,00:18:00,16456.0038,436.56256,1936.52868,40.6315,55.001,26.1606,51.028,0.00266183,11.2898,54.4957,32.84,0.15088,24.1336,48
1691043540,187036991,17063288,0,"""""",2025-11-30,00:19:00,16460.138,438.89121,1937.16621,40.6297,55.001,26.1553,51.028,0.00263321,11.2879,54.4924,76.08,0.15088,24.1385,16
1691043600,187036991,17063289,0,"""""",2025-11-30,00:20:00,16462.5175,438.30027,1936.48176,40.6284,55.001,26.1569,51.028,0.00265894,11.29,54.4995,-25.72,0.15088,24.1332,161
1691043660,187036991,17063290,0,"""""",2025-11-30,00:21:00,16464.0143,440.35815,1937.10535,40.6291,55.001,26.1547,51.028,0.00266531,11.2877,54.5005,45.34,0.15088,24.1311,79
1691043720,187036991,17063291,0,"""""",2025-11-30,00:22:00,16459.2029,438.03942,1936.078,40.6271,55.001,26.1615,51.028,0.0026649,11.2908,54.4953,16.84,0.15088,24.1349,24
1691043780,187036991,17063292,0,"""""",2025-11-30,00:23:00,16457.0945,439.89745,1936.59154,40.6256,55.001,26.1627,51.028,0.00264839,11.2892,54.4967,60.76,0.15088,24.1346,75
1691043840,187036991,17063293,0,"""""",2025-11-30,00:24:00,16457.2088,439.10165,1936.66016,40.6241,55.001,26.1522,51.028,0.00266997,11.2884,54.4989,59.63,0.15088,24.1342,82
1691043900,187036991,17063294,0,"""""",2025-11-30,00:25:00,16460.6968,438.58526,1936.28451,40.6289,55.001,26.1572,51.028,0.00267468,11.2893,54.494,-70.63,0.15088,24.1341,18
1691043960,187036991,17063295,0,"""""",2025-11-30,00:26:00,16461.9209,438.06452,1936.6651,40.6269,55.001,26.1657,51.028,0.00265255,11.2884,54.499,-57.58,0.15088,24.1335,79
1691044020,187036991,17063296,0,"""""",2025-11-30,00:27:00,16456.4559,440.25409,1936.99324,40.6241,55.001,26.1627,51.028,0.00265063,11.2885,54.4977,22.67,0.15088,24.1358,214
1691044080,187036991,17063297,0,"""""",2025-11-30,00:28:00,16460.6789,439.88924,1936.63649,40.6337,55.001,26.1652,51.028,0.00265891,11.2899,54.5009,-37.2,0.15088,24.1353,97
1691044140,187036991,17063298,0,"""""",2025-11-30,00:29:00,16455.6384,441.2119,1936.38463,40.6342,55.001,26.159,51.028,0.00266552,11.2897,54.5004,-24.33,0.15088,24.1334,43
1691044200,187036991,17063299,0,"""""",2025-11-30,00:30:00,16457.5389,440.5124,1936.23232,40.6243,55.001,26.1593,51.028,0.00266863,11.2886,54.4956,14.32,0.15088,24.1325,99
1691044260,187036991,17063300,0,"""""",2025-11-30,00:31:00,16461.0926,441.74897,1936.37184,40.6258,55.001,26.1605,51.028,0.00267189,11.2885,54.4966,21.4,0.15088,24.1339,118
1691044320,187036991,17063301,0,"""""",2025-11-30,00:32:00,16459.7848,441.66168,1936.44907,40.6307,55.001,26.1662,51.028,0.00264392,11.2901,54.4979,-13.47,0.15088,24.137,229
1691044380,187036991,17063302,0,"""""",2025-11-30,00:33:00,16454.409,441.79376,1936.73937,40.6259,55.001,26.1614,51.028,0.00266367,11.2879,54.5014,-9.22,0.15088,24.1348,194
1691044440,187036991,17063303,0,"""""",2025-11-30,00:34:00,16454.1345,441.74164,1937.15645,40.6287,55.001,26.1616,51.028,0.00265088,11.2879,54.5029,59.37,0.15088,24.131,163
1691044500,187036991,17063304,0,"""""",2025-11-30,00:35:00,16456.4898,442.73822,1936.67128,40.6253,55.001,26.163,51.028,0.00265906,11.2899,54.4958,-1.52,0.15088,24.1356,194
1691044560,187036991,17063305,0,"""""",2025-11-30,00:36:00,16460.9162,442.4253,1935.83901,40.6288,55.001,26.1578,51.028,0.00268811,11.2894,54.5011,-72.82,0.15088,24.1378,207
1691044620,187036991,17063306,0,"""""",2025-11-30,00:37:00,16462.1638,442.98756,1936.05659,40.6279,55.001,26.1591,51.028,0.00266196,11.2866,54.4978,49.95,0.15088,24.1339,170
1691044680,187036991,17063307,0,"""""",2025-11-30,00:38:00,16461.8201,443.64163,1936.02786,40.6279,55.001,26.1605,51.028,0.00265699,11.2896,54.5039,22.21,0.15088,24.1352,155
1691044740,187036991,17063308,0,"""""",2025-11-30,00:39:00,16455.7961,444.0357,1936.99902,40.6297,55.001,26.1566,51.028,0.00267836,11.2902,54.498,-30.52,0.15088,24.1335,27
1691044800,187036991,17063309,0,"""""",2025-11-30,00:40:00,16458.6235,443.77552,1936.19697,40.6317,55.001,26.1625,51.028,0.00266867,11.2882,54.5034,-25.02,0.15088,24.1359,135
1691044860,187036991,17063310,0,"""""",2025-11-30,00:41:00,16458.251,445.51042,1936.39234,40.6235,55.001,26.159,51.028,0.00268063,11.2899,54.4995,4.05,0.15088,24.1354,175
1691044920,187036991,17063311,0,"""""",2025-11-30,00:42:00,16455.9373,445.00323,1935.7171,40.6294,55.001,26.1626,51.028,0.00265584,11.2895,54.4931,-38.46,0.15088,24.1341,137
1691044980,187036991,17063312,0,"""""",2025-11-30,00:43:00,16458.4535,445.58908,1936.35564,40.6263,55.001,26.1578,51.028,0.00265885,11.2888,54.4986,72.64,0.15088,24.1323,68
1691045040,187036991,17063313,0,"""""",2025-11-30,00:44:00,16460.1414,445.07459,1936.37744,40.626,55.001,26.1629,51.028,0.00265928,11.2887,54.4979,-32.23,0.15088,24.1327,83
1691045100,187036991,17063314,0,"""""",2025-11-30,00:45:00,16454.8638,444.91805,1936.47188,40.6262,55.001,26.164,51.028,0.0026503,11.2892,54.5029,9.11,0.15088,24.1368,204
1691045160,187036991,17063315,0,"""""",2025-11-30,00:46:00,16464.5381,447.23054,1936.66612,40.6274,55.001,26.1616,51.028,0.00266058,11.2898,54.4963,-5.72,0.15088,24.1313,190
1691045220,187036991,17063316,0,"""""",2025-11-30,00:47:00,16462.5832,445.52485,1936.57777,40.6315,55.001,26.1604,51.028,0.00264485,11.2883,54.4972,-61.53,0.15088,24.1347,81
1691045280,187036991,17063317,0,"""""",2025-11-30,00:48:00,16455.1415,446.30834,1937.01305,40.629,55.001,26.1637,51.028,0.00263573,11.2876,54.4985,-62.26,0.15088,24.1345,38
1691045340,187036991,17063318,0,"""""",2025-11-30,00:49:00,16460.0621,447.10406,1936.90284,40.6315,55.001,26.1604,51.028,0.00267278,11.2886,54.4986,-78.69,0.15088,24.1322,28
1691045400,187036991,17063319,0,"""""",2025-11-30,00:50:00,16459.616,446.86575,1936.45073,40.6257,55.001,26.1669,51.028,0.00263954,11.2876,54.4988,-20.65,0.15088,24.1354,44
1691045460,187036991,17063320,0,"""""",2025-11-30,00:51:00,16457.3451,446.92498,1936.65616,40.627,55.001,26.1609,51.028,0.0026899,11.2904,54.4981,7.25,0.15088,24.1366,25
1691045520,187036991,17063321,0,"""""",2025-11-30,00:52:00,16460.5679,448.17017,1937.00875,40.6331,55.001,26.1577,51.028,0.00265313,11.2905,54.4946,0.69,0.15088,24.1351,88
1691045580,187036991,17063322,0,"""""",2025-11-30,00:53:00,16460.0757,448.18619,1936.4583,40.6257,55.001,26.1628,51.028,0.00267284,11.2905,54.4987,3.55,0.15088,24.1366,14
1691045640,187036991,17063323,0,"""""",2025-11-30,00:54:00,16457.684,448.47608,1936.15715,40.6281,55.001,26.1606,51.028,0.0026602,11.2902,54.5027,47.62,0.15088,24.1343,220
1691045700,187036991,17063324,0,"""""",2025-11-30,00:55:00,16462.7339,449.00136,1935.99252,40.6299,55.001,26.1609,51.028,0.00266728,11.2897,54.5033,57.66,0.15088,24.1354,127
1691045760,187036991,17063325,0,"""""",2025-11-30,00:56:00,16464.0654,449.77785,1935.97137,40.6264,55.001,26.1637,51.028,0.00266679,11.2893,54.5012,-53.12,0.15088,24.1371,171
1691045820,187036991,17063326,0,"""""",2025-11-30,00:57:00,16464.3561,449.37495,1936.47548,40.6267,55.001,26.1615,51.028,0.00267127,11.2888,54.4993,77.42,0.15088,24.1342,77
1691045880,187036991,17063327,0,"""""",2025-11-30,00:58:00,16460.0533,448.88759,1936.4784,40.6203,55.001,26.1623,51.028,0.00265001,11.2882,54.5,-60.97,0.15088,24.1352,216
1691045940,187036991,17063328,0,"""""",2025-11-30,00:59:00,16465.3425,450.14368,1935.98729,40.6325,55.001,26.164,51.028,0.00265564,11.2884,54.4985,-50.16,0.15088,24.1377,209
1691046000,187036991,17063329,0,"""""",2025-11-30,01:00:00,16454.6378,450.26764,1937.40336,40.6268,55.001,26.1649,51.028,0.00267067,11.2884,54.4986,-54.53,0.15088,24.1344,139
